from pubchempy import get_compounds

# ok = set()
# nok = set()
# need = {'C', 'H', 'N', 'O', 'F', 'P', 'Cl', 'S', 'Br'}
# data = []
# res = []

# def judge(name):
#     if name in ok:
#         return True
#     if name in nok:
#         return False
#     print("need " + name)
#     compounds = get_compounds(name, 'name')
#     compound = compounds[0] if compounds else None
#     if compound:
#         tmp = set(compound.elements)
#         if not tmp.difference(need):
#             ok.add(name)
#             return True
#         else:
#             nok.add(name)
#             return False
#     else:
#         print("Can't get element of " + name)
#         res.append(name)
#         return False

# f = open('other.txt', 'w')
# with open('res.txt', 'r') as reader:
#     first_line = True
#     for line in reader:
#         if first_line:
#             first_line = False
#             continue
#         lines = line.split(';')
#         solute = lines[0]
#         solvent = lines[1]
#         if judge(solute) and judge(solvent):
#             f.write(line)

# f.close()
# f = open('res.txt', 'a')
# f.write('\n' + time.strftime("%Y-%m-%d %H:%M:%S", time.localtime()) + '\n')
# print("{} can't find".format(len(res)))
# for line in res:
#     f.write(line + '\n')
# f.close()

a = set()
cnt = 0
with open('Solv@Tum_reformated.txt', 'r') as reader:
    first_column = True
    for line in reader:
        if first_column:
            first_column = False
            continue
        if line in a:
            cnt += 1
        else:
            a.add(line)

print(cnt)
;PYRIDINE;CCCCOC(=O)C;c1ccncc1;-5.79
METHYL TERT-BUTYL ETHER;TOLUENE;CC(C)(C)OC;Cc1ccccc1;-3.67
TETRAHYDROFURAN;TOLUENE;C1CCOC1;Cc1ccccc1;-4.39
1,4-DIOXANE;TOLUENE;C1COCCO1;Cc1ccccc1;-4.93
ACETONE;TOLUENE;CC(=O)C;Cc1ccccc1;-3.52
BUTANONE;TOLUENE;CCC(=O)C;Cc1ccccc1;-4.29
PENTAN-2-ONE;TOLUENE;CCCC(=O)C;Cc1ccccc1;-5.02
2-HEXANONE;TOLUENE;CCCCC(=O)C;Cc1ccccc1;-5.6
2-HEPTANONE;TOLUENE;CCCCCC(=O)C;Cc1ccccc1;-6.3
METHYL ACETATE;TOLUENE;CC(=O)OC;Cc1ccccc1;-3.63
PROPYL ACETATE;TOLUENE;CCCOC(=O)C;Cc1ccccc1;-5.0
BUTYL ACETATE;TOLUENE;CCCCOC(=O)C;Cc1ccccc1;-5.57
ACETONITRILE;TOLUENE;CC#N;Cc1ccccc1;-3.65
PROPIONITRILE;TOLUENE;CCC#N;Cc1ccccc1;-4.29
TRIETHYLAMINE;TOLUENE;CCN(CC)CC;Cc1ccccc1;-4.71
NITROMETHANE;TOLUENE;C[N+](=O)[O-];Cc1ccccc1;-4.22
METHANOL;TOLUENE;CO;Cc1ccccc1;-2.42
ETHANOL;TOLUENE;CCO;Cc1ccccc1;-3.0
1-PROPANOL;TOLUENE;CCCO;Cc1ccccc1;-3.75
N-BUTANOL;TOLUENE;CCCCO;Cc1ccccc1;-4.54
PENTANOL;TOLUENE;CCCCCO;Cc1ccccc1;-5.27
HEXANOL;TOLUENE;CCCCCCO;Cc1ccccc1;-6.17
HEPTAN-1-OL;TOLUENE;CCCCCCCO;Cc1ccccc1;-6.75
TOLUENE;TOLUENE;Cc1ccccc1;Cc1ccccc1;-5.17
ETHYLBENZENE;TOLUENE;CCc1ccccc1;Cc1ccccc1;-5.77
BROMOETHANE;TOLUENE;CCBr;Cc1ccccc1;-3.51
CARBON DISULFIDE;TOLUENE;C(=S)=S;Cc1ccccc1;-3.53
P-XYLENE;TOLUENE;Cc1ccc(cc1)C;Cc1ccccc1;-5.93
PYRIDINE;TOLUENE;c1ccncc1;Cc1ccccc1;-5.09
ETHYL ACETATE;TOLUENE;CCOC(=O)C;Cc1ccccc1;-4.32
1-CHLOROBUTANE;TOLUENE;CCCCCl;Cc1ccccc1;-4.35
ISOBUTANOL;TOLUENE;CC(C)CO;Cc1ccccc1;-4.21
TERT-BUTANOL;TOLUENE;CC(C)(C)O;Cc1ccccc1;-3.74
O-XYLENE;TOLUENE;Cc1ccccc1C;Cc1ccccc1;-6.12
3-METHYLBUTAN-1-OL;TOLUENE;CC(C)CCO;Cc1ccccc1;-5.0
PENTYL ACETATE;TOLUENE;CCCCCOC(=O)C;Cc1ccccc1;-6.41
NITROETHANE;TOLUENE;CC[N+](=O)[O-];Cc1ccccc1;-4.62
BENZONITRILE;TOLUENE;c1ccc(cc1)C#N;Cc1ccccc1;-7.21
PHENYLAMINE;TOLUENE;c1ccc(cc1)N;Cc1ccccc1;-6.78
HEXANE;ETHYLBENZENE;CCCCCC;CCc1ccccc1;-3.8
HEPTANE;ETHYLBENZENE;CCCCCCC;CCc1ccccc1;-4.5
OCTANE;ETHYLBENZENE;CCCCCCCC;CCc1ccccc1;-4.97
CARBON TETRACHLORIDE;ETHYLBENZENE;C(Cl)(Cl)(Cl)Cl;CCc1ccccc1;-4.24
TETRAHYDROFURAN;ETHYLBENZENE;C1CCOC1;CCc1ccccc1;-4.17
1,4-DIOXANE;ETHYLBENZENE;C1COCCO1;CCc1ccccc1;-4.71
BUTANONE;ETHYLBENZENE;CCC(=O)C;CCc1ccccc1;-4.12
PROPIONITRILE;ETHYLBENZENE;CCC#N;CCc1ccccc1;-4.17
METHANOL;ETHYLBENZENE;CO;CCc1ccccc1;-2.32
ETHANOL;ETHYLBENZENE;CCO;CCc1ccccc1;-3.02
1-PROPANOL;ETHYLBENZENE;CCCO;CCc1ccccc1;-3.68
N-BUTANOL;ETHYLBENZENE;CCCCO;CCc1ccccc1;-4.43
PENTANOL;ETHYLBENZENE;CCCCCO;CCc1ccccc1;-5.18
HEXANOL;ETHYLBENZENE;CCCCCCO;CCc1ccccc1;-5.9
HEPTAN-1-OL;ETHYLBENZENE;CCCCCCCO;CCc1ccccc1;-6.87
TOLUENE;ETHYLBENZENE;Cc1ccccc1;CCc1ccccc1;-5.08
ETHYLBENZENE;ETHYLBENZENE;CCc1ccccc1;CCc1ccccc1;-5.73
CHLOROBENZENE;ETHYLBENZENE;c1ccc(cc1)Cl;CCc1ccccc1;-5.58
DECANE;ETHYLBENZENE;CCCCCCCCCC;CCc1ccccc1;-6.58
2,2,4-TRIMETHYLPENTANE;ETHYLBENZENE;CC(C)CC(C)(C)C;CCc1ccccc1;-4.35
ISOBUTANOL;ETHYLBENZENE;CC(C)CO;CCc1ccccc1;-3.77
TERT-BUTANOL;ETHYLBENZENE;CC(C)(C)O;CCc1ccccc1;-3.5
METHYLCYCLOHEXANE;ETHYLBENZENE;CC1CCCCC1;CCc1ccccc1;-4.56
3-METHYLBUTAN-1-OL;ETHYLBENZENE;CC(C)CCO;CCc1ccccc1;-4.88
HEXANE;DIIODOMETHANE;CCCCCC;C(I)I;-2.06
HEPTANE;DIIODOMETHANE;CCCCCCC;C(I)I;-2.85
OCTANE;DIIODOMETHANE;CCCCCCCC;C(I)I;-3.37
NONANE;DIIODOMETHANE;CCCCCCCCC;C(I)I;-3.98
DICHLOROMETHANE;DIIODOMETHANE;C(Cl)Cl;C(I)I;-2.8
CARBON TETRACHLORIDE;DIIODOMETHANE;C(Cl)(Cl)(Cl)Cl;C(I)I;-3.14
1,4-DIOXANE;DIIODOMETHANE;C1COCCO1;C(I)I;-4.94
ACETONE;DIIODOMETHANE;CC(=O)C;C(I)I;-3.32
BUTANONE;DIIODOMETHANE;CCC(=O)C;C(I)I;-3.83
PENTAN-2-ONE;DIIODOMETHANE;CCCC(=O)C;C(I)I;-4.22
METHYL ACETATE;DIIODOMETHANE;CC(=O)OC;C(I)I;-3.17
NITROMETHANE;DIIODOMETHANE;C[N+](=O)[O-];C(I)I;-3.79
METHANOL;DIIODOMETHANE;CO;C(I)I;-2.56
ETHANOL;DIIODOMETHANE;CCO;C(I)I;-2.91
1-PROPANOL;DIIODOMETHANE;CCCO;C(I)I;-3.53
N-BUTANOL;DIIODOMETHANE;CCCCO;C(I)I;-4.13
PENTANOL;DIIODOMETHANE;CCCCCO;C(I)I;-4.77
TOLUENE;DIIODOMETHANE;Cc1ccccc1;C(I)I;-4.49
ETHYLBENZENE;DIIODOMETHANE;CCc1ccccc1;C(I)I;-5.01
DECANE;DIIODOMETHANE;CCCCCCCCCC;C(I)I;-4.6
ISOPROPANOL;DIIODOMETHANE;CC(C)O;C(I)I;-2.96
DICHLOROETHANE;DIIODOMETHANE;C(CCl)Cl;C(I)I;-3.72
NITROETHANE;DIIODOMETHANE;CC[N+](=O)[O-];C(I)I;-4.28
UNDECANE;DIIODOMETHANE;CCCCCCCCCCC;C(I)I;-5.21
METHANOL;1-ETHOXYPROPANE;CO;CCCOCC;-3.33
1-ETHOXYPROPANE;1-ETHOXYPROPANE;CCCOCC;CCCOCC;-4.0
PENTANE;ETHYL ACETATE;CCCCC;CCOC(=O)C;-2.85
HEXANE;ETHYL ACETATE;CCCCCC;CCOC(=O)C;-3.47
HEPTANE;ETHYL ACETATE;CCCCCCC;CCOC(=O)C;-4.07
OCTANE;ETHYL ACETATE;CCCCCCCC;CCOC(=O)C;-4.71
NONANE;ETHYL ACETATE;CCCCCCCCC;CCOC(=O)C;-5.33
DICHLOROMETHANE;ETHYL ACETATE;C(Cl)Cl;CCOC(=O)C;-4.04
CHLOROFORM;ETHYL ACETATE;C(Cl)(Cl)Cl;CCOC(=O)C;-4.61
CARBON TETRACHLORIDE;ETHYL ACETATE;C(Cl)(Cl)(Cl)Cl;CCOC(=O)C;-4.23
TETRAHYDROFURAN;ETHYL ACETATE;C1CCOC1;CCOC(=O)C;-4.11
1,4-DIOXANE;ETHYL ACETATE;C1COCCO1;CCOC(=O)C;-5.01
ACETONE;ETHYL ACETATE;CC(=O)C;CCOC(=O)C;-3.9
BUTANONE;ETHYL ACETATE;CCC(=O)C;CCOC(=O)C;-4.45
ACETONITRILE;ETHYL ACETATE;CC#N;CCOC(=O)C;-4.19
PROPIONITRILE;ETHYL ACETATE;CCC#N;CCOC(=O)C;-4.68
TRIETHYLAMINE;ETHYL ACETATE;CCN(CC)CC;CCOC(=O)C;-4.27
NITROMETHANE;ETHYL ACETATE;C[N+](=O)[O-];CCOC(=O)C;-4.92
METHANOL;ETHYL ACETATE;CO;CCOC(=O)C;-3.68
ETHANOL;ETHYL ACETATE;CCO;CCOC(=O)C;-4.12
TOLUENE;ETHYL ACETATE;Cc1ccccc1;CCOC(=O)C;-5.03
CHLOROBENZENE;ETHYL ACETATE;c1ccc(cc1)Cl;CCOC(=O)C;-5.66
BROMOETHANE;ETHYL ACETATE;CCBr;CCOC(=O)C;-3.53
ISOPROPANOL;ETHYL ACETATE;CC(C)O;CCOC(=O)C;-4.13
CARBON DISULFIDE;ETHYL ACETATE;C(=S)=S;CCOC(=O)C;-3.12
ETHYL ACETATE;ETHYL ACETATE;CCOC(=O)C;CCOC(=O)C;-4.5
DIMETHYLFORMAMIDE;ETHYL ACETATE;CN(C)C=O;CCOC(=O)C;-6.1
1-CHLOROBUTANE;ETHYL ACETATE;CCCCCl;CCOC(=O)C;-4.31
DICHLOROETHANE;ETHYL ACETATE;C(CCl)Cl;CCOC(=O)C;-4.72
2-PICOLINE;ETHYL ACETATE;Cc1ccccn1;CCOC(=O)C;-5.68
DIMETHYL SULFOXIDE;ETHYL ACETATE;CS(=O)C;CCOC(=O)C;-6.66
PHENYLAMINE;ETHYL ACETATE;c1ccc(cc1)N;CCOC(=O)C;-7.49
PENTANE;BUTANONE;CCCCC;CCC(=O)C;-2.82
HEXANE;BUTANONE;CCCCCC;CCC(=O)C;-3.44
HEPTANE;BUTANONE;CCCCCCC;CCC(=O)C;-4.13
OCTANE;BUTANONE;CCCCCCCC;CCC(=O)C;-4.71
NONANE;BUTANONE;CCCCCCCCC;CCC(=O)C;-5.32
DICHLOROMETHANE;BUTANONE;C(Cl)Cl;CCC(=O)C;-4.05
CHLOROFORM;BUTANONE;C(Cl)(Cl)Cl;CCC(=O)C;-4.72
CARBON TETRACHLORIDE;BUTANONE;C(Cl)(Cl)(Cl)Cl;CCC(=O)C;-4.15
PROPYL ETHER;BUTANONE;CCCOCCC;CCC(=O)C;-4.37
DIISOPROPYL ETHER;BUTANONE;CC(C)OC(C)C;CCC(=O)C;-3.9
1,4-DIOXANE;BUTANONE;C1COCCO1;CCC(=O)C;-5.02
ACETONE;BUTANONE;CC(=O)C;CCC(=O)C;-3.98
BUTANONE;BUTANONE;CCC(=O)C;CCC(=O)C;-4.58
ACETONITRILE;BUTANONE;CC#N;CCC(=O)C;-4.46
TRIETHYLAMINE;BUTANONE;CCN(CC)CC;CCC(=O)C;-4.16
NITROMETHANE;BUTANONE;C[N+](=O)[O-];CCC(=O)C;-4.98
METHANOL;BUTANONE;CO;CCC(=O)C;-3.83
ETHANOL;BUTANONE;CCO;CCC(=O)C;-4.32
1-PROPANOL;BUTANONE;CCCO;CCC(=O)C;-4.97
N-BUTANOL;BUTANONE;CCCCO;CCC(=O)C;-5.66
HEXANOL;BUTANONE;CCCCCCO;CCC(=O)C;-6.96
1-OCTANOL;BUTANONE;CCCCCCCCO;CCC(=O)C;-8.2
TOLUENE;BUTANONE;Cc1ccccc1;CCC(=O)C;-5.1
ETHYLBENZENE;BUTANONE;CCc1ccccc1;CCC(=O)C;-5.65
DECANE;BUTANONE;CCCCCCCCCC;CCC(=O)C;-6.03
BROMOETHANE;BUTANONE;CCBr;CCC(=O)C;-3.53
ISOPROPANOL;BUTANONE;CC(C)O;CCC(=O)C;-4.54
CARBON DISULFIDE;BUTANONE;C(=S)=S;CCC(=O)C;-3.1
PYRIDINE;BUTANONE;c1ccncc1;CCC(=O)C;-5.38
ETHYL ACETATE;BUTANONE;CCOC(=O)C;CCC(=O)C;-4.49
DIMETHYLFORMAMIDE;BUTANONE;CN(C)C=O;CCC(=O)C;-6.41
2,2,4-TRIMETHYLPENTANE;BUTANONE;CC(C)CC(C)(C)C;CCC(=O)C;-4.05
DICHLOROETHANE;BUTANONE;C(CCl)Cl;CCC(=O)C;-4.79
ACETIC ACID;BUTANONE;CC(=O)O;CCC(=O)C;-5.42
ISOBUTANOL;BUTANONE;CC(C)CO;CCC(=O)C;-5.43
TERT-BUTANOL;BUTANONE;CC(C)(C)O;CCC(=O)C;-4.71
METHYLCYCLOHEXANE;BUTANONE;CC1CCCCC1;CCC(=O)C;-4.12
NITROETHANE;BUTANONE;CC[N+](=O)[O-];CCC(=O)C;-5.25
HEXANE;1,2-PROPANEDIOL;CCCCCC;CC(CO)O;-1.78
HEPTANE;1,2-PROPANEDIOL;CCCCCCC;CC(CO)O;-2.26
OCTANE;1,2-PROPANEDIOL;CCCCCCCC;CC(CO)O;-2.72
NONANE;1,2-PROPANEDIOL;CCCCCCCCC;CC(CO)O;-3.19
DICHLOROMETHANE;1,2-PROPANEDIOL;C(Cl)Cl;CC(CO)O;-2.95
CHLOROFORM;1,2-PROPANEDIOL;C(Cl)(Cl)Cl;CC(CO)O;-3.5
CARBON TETRACHLORIDE;1,2-PROPANEDIOL;C(Cl)(Cl)(Cl)Cl;CC(CO)O;-2.99
DIISOPROPYL ETHER;1,2-PROPANEDIOL;CC(C)OC(C)C;CC(CO)O;-2.63
TOLUENE;1,2-PROPANEDIOL;Cc1ccccc1;CC(CO)O;-3.61
ETHYLBENZENE;1,2-PROPANEDIOL;CCc1ccccc1;CC(CO)O;-4.02
CHLOROBENZENE;1,2-PROPANEDIOL;c1ccc(cc1)Cl;CC(CO)O;-4.36
P-XYLENE;1,2-PROPANEDIOL;Cc1ccc(cc1)C;CC(CO)O;-4.03
2,2,4-TRIMETHYLPENTANE;1,2-PROPANEDIOL;CC(C)CC(C)(C)C;CC(CO)O;-2.15
O-XYLENE;1,2-PROPANEDIOL;Cc1ccccc1C;CC(CO)O;-4.23
METHYLCYCLOHEXANE;1,2-PROPANEDIOL;CC1CCCCC1;CC(CO)O;-2.68
M-XYLENE;1,2-PROPANEDIOL;Cc1cccc(c1)C;CC(CO)O;-4.04
HEXYL ACETATE;HEXYL ACETATE;CCCCCCOC(=O)C;CCCCCCOC(=O)C;-6.79
TERT-AMYL ALCOHOL;TERT-AMYL ALCOHOL;CCC(C)(C)O;CCC(C)(C)O;-5.43
PENTANE;PROPYLENE CARBONATE;CCCCC;CC1COC(=O)O1;-1.66
HEXANE;PROPYLENE CARBONATE;CCCCCC;CC1COC(=O)O1;-2.09
HEPTANE;PROPYLENE CARBONATE;CCCCCCC;CC1COC(=O)O1;-2.56
OCTANE;PROPYLENE CARBONATE;CCCCCCCC;CC1COC(=O)O1;-3.08
NONANE;PROPYLENE CARBONATE;CCCCCCCCC;CC1COC(=O)O1;-3.45
DICHLOROMETHANE;PROPYLENE CARBONATE;C(Cl)Cl;CC1COC(=O)O1;-3.48
CHLOROFORM;PROPYLENE CARBONATE;C(Cl)(Cl)Cl;CC1COC(=O)O1;-3.93
DIETHYL ETHER;PROPYLENE CARBONATE;CCOCC;CC1COC(=O)O1;-2.58
DIISOPROPYL ETHER;PROPYLENE CARBONATE;CC(C)OC(C)C;CC1COC(=O)O1;-2.91
ETBE;PROPYLENE CARBONATE;CCOC(C)(C)C;CC1COC(=O)O1;-3.06
TERT-AMYL METHYL ETHER;PROPYLENE CARBONATE;CCC(C)(C)OC;CC1COC(=O)O1;-3.53
METHYL TERT-BUTYL ETHER;PROPYLENE CARBONATE;CC(C)(C)OC;CC1COC(=O)O1;-3.06
BUTANONE;PROPYLENE CARBONATE;CCC(=O)C;CC1COC(=O)O1;-4.34
PENTAN-2-ONE;PROPYLENE CARBONATE;CCCC(=O)C;CC1COC(=O)O1;-4.75
TRIETHYLAMINE;PROPYLENE CARBONATE;CCN(CC)CC;CC1COC(=O)O1;-2.91
TOLUENE;PROPYLENE CARBONATE;Cc1ccccc1;CC1COC(=O)O1;-4.37
ETHYLBENZENE;PROPYLENE CARBONATE;CCc1ccccc1;CC1COC(=O)O1;-4.82
DECANE;PROPYLENE CARBONATE;CCCCCCCCCC;CC1COC(=O)O1;-4.05
P-XYLENE;PROPYLENE CARBONATE;Cc1ccc(cc1)C;CC1COC(=O)O1;-4.83
DICHLOROETHANE;PROPYLENE CARBONATE;C(CCl)Cl;CC1COC(=O)O1;-4.32
O-XYLENE;PROPYLENE CARBONATE;Cc1ccccc1C;CC1COC(=O)O1;-5.06
METHYLCYCLOHEXANE;PROPYLENE CARBONATE;CC1CCCCC1;CC1COC(=O)O1;-2.92
M-XYLENE;PROPYLENE CARBONATE;Cc1cccc(c1)C;CC1COC(=O)O1;-4.84
PENTANE;HEXANE;CCCCC;CCCCCC;-3.33
HEXANE;HEXANE;CCCCCC;CCCCCC;-4.05
HEPTANE;HEXANE;CCCCCCC;CCCCCC;-4.77
OCTANE;HEXANE;CCCCCCCC;CCCCCC;-5.42
NONANE;HEXANE;CCCCCCCCC;CCCCCC;-6.15
CHLOROFORM;HEXANE;C(Cl)(Cl)Cl;CCCCCC;-3.62
CARBON TETRACHLORIDE;HEXANE;C(Cl)(Cl)(Cl)Cl;CCCCCC;-4.13
DIBUTYL ETHER;HEXANE;CCCCOCCCC;CCCCCC;-5.91
ETBE;HEXANE;CCOC(C)(C)C;CCCCCC;-4.07
TERT-AMYL METHYL ETHER;HEXANE;CCC(C)(C)OC;CCCCCC;-4.47
TETRAHYDROFURAN;HEXANE;C1CCOC1;CCCCCC;-3.68
1,4-DIOXANE;HEXANE;C1COCCO1;CCCCCC;-4.07
ACETONE;HEXANE;CC(=O)C;CCCCCC;-2.68
BUTANONE;HEXANE;CCC(=O)C;CCCCCC;-3.4
2-HEXANONE;HEXANE;CCCCC(=O)C;CCCCCC;-4.68
2-HEPTANONE;HEXANE;CCCCCC(=O)C;CCCCCC;-5.36
METHYL ACETATE;HEXANE;CC(=O)OC;CCCCCC;-2.93
PROPYL ACETATE;HEXANE;CCCOC(=O)C;CCCCCC;-4.03
BUTYL ACETATE;HEXANE;CCCCOC(=O)C;CCCCCC;-4.94
ACETONITRILE;HEXANE;CC#N;CCCCCC;-2.41
PROPIONITRILE;HEXANE;CCC#N;CCCCCC;-3.04
BUTYRONITRILE;HEXANE;CCCC#N;CCCCCC;-3.75
TRIETHYLAMINE;HEXANE;CCN(CC)CC;CCCCCC;-4.49
NITROMETHANE;HEXANE;C[N+](=O)[O-];CCCCCC;-2.76
METHANOL;HEXANE;CO;CCCCCC;-1.57
ETHANOL;HEXANE;CCO;CCCCCC;-2.28
1-PROPANOL;HEXANE;CCCO;CCCCCC;-3.02
N-BUTANOL;HEXANE;CCCCO;CCCCCC;-3.74
PENTANOL;HEXANE;CCCCCO;CCCCCC;-4.62
HEXANOL;HEXANE;CCCCCCO;CCCCCC;-5.02
HEPTAN-1-OL;HEXANE;CCCCCCCO;CCCCCC;-5.59
TOLUENE;HEXANE;Cc1ccccc1;CCCCCC;-4.75
ETHYLBENZENE;HEXANE;CCc1ccccc1;CCCCCC;-5.35
CHLOROBENZENE;HEXANE;c1ccc(cc1)Cl;CCCCCC;-5.21
DECANE;HEXANE;CCCCCCCCCC;CCCCCC;-6.85
BROMOETHANE;HEXANE;CCBr;CCCCCC;-3.14
ISOPROPANOL;HEXANE;CC(C)O;CCCCCC;-2.76
PYRIDINE;HEXANE;c1ccncc1;CCCCCC;-4.19
ETHYL ACETATE;HEXANE;CCOC(=O)C;CCCCCC;-3.6
1-CHLOROBUTANE;HEXANE;CCCCCl;CCCCCC;-4.02
DECAN-1-OL;HEXANE;CCCCCCCCCCO;CCCCCC;-7.69
DICHLOROETHANE;HEXANE;C(CCl)Cl;CCCCCC;-3.75
ISOBUTANOL;HEXANE;CC(C)CO;CCCCCC;-3.58
3-METHYLBUTAN-1-OL;HEXANE;CC(C)CCO;CCCCCC;-4.05
PENTYL ACETATE;HEXANE;CCCCCOC(=O)C;CCCCCC;-5.57
NITROETHANE;HEXANE;CC[N+](=O)[O-];CCCCCC;-3.42
FLUOROBENZENE;HEXANE;c1ccc(cc1)F;CCCCCC;-4.15
BROMOBENZENE;HEXANE;c1ccc(cc1)Br;CCCCCC;-5.66
PHENYLAMINE;HEXANE;c1ccc(cc1)N;CCCCCC;-5.43
NITROBENZENE;HEXANE;c1ccc(cc1)[N+](=O)[O-];CCCCCC;-6.09
UNDECANE;HEXANE;CCCCCCCCCCC;CCCCCC;-7.56
DODECANE;HEXANE;CCCCCCCCCCCC;CCCCCC;-8.24
CYCLOHEXANONE;HEXANE;C1CCC(=O)CC1;CCCCCC;-4.98
DODECAN-1-OL;HEXANE;CCCCCCCCCCCCO;CCCCCC;-9.26
2-ETHOXYETHANOL;HEXANE;CCOCCO;CCCCCC;-4.01
ACETOPHENONE;HEXANE;CC(=O)c1ccccc1;CCCCCC;-6.05
2-HEXANONE;2-HEXANONE;CCCCC(=O)C;CCCCC(=O)C;-5.6
PENTANE;HEPTAN-1-OL;CCCCC;CCCCCCCO;-2.66
HEXANE;HEPTAN-1-OL;CCCCCC;CCCCCCCO;-3.33
BUTYRONITRILE;HEPTAN-1-OL;CCCC#N;CCCCCCCO;-4.32
METHYLCYCLOHEXANE;HEPTAN-1-OL;CC1CCCCC1;CCCCCCCO;-4.16
PENTANE;PENTANOL;CCCCC;CCCCCO;-2.65
HEXANE;PENTANOL;CCCCCC;CCCCCO;-3.33
OCTANE;PENTANOL;CCCCCCCC;CCCCCO;-4.62
DICHLOROMETHANE;PENTANOL;C(Cl)Cl;CCCCCO;-3.19
DIETHYL ETHER;PENTANOL;CCOCC;CCCCCO;-3.12
ACETONE;PENTANOL;CC(=O)C;CCCCCO;-3.4
BUTANONE;PENTANOL;CCC(=O)C;CCCCCO;-3.89
PROPYL ACETATE;PENTANOL;CCCOC(=O)C;CCCCCO;-4.31
BUTYRONITRILE;PENTANOL;CCCC#N;CCCCCO;-4.47
TRIETHYLAMINE;PENTANOL;CCN(CC)CC;CCCCCO;-4.97
METHANOL;PENTANOL;CO;CCCCCO;-4.19
ETHANOL;PENTANOL;CCO;CCCCCO;-4.65
1-PROPANOL;PENTANOL;CCCO;CCCCCO;-5.43
N-BUTANOL;PENTANOL;CCCCO;CCCCCO;-6.07
PENTANOL;PENTANOL;CCCCCO;CCCCCO;-6.75
TOLUENE;PENTANOL;Cc1ccccc1;CCCCCO;-4.49
ETHYLBENZENE;PENTANOL;CCc1ccccc1;CCCCCO;-5.01
CHLOROBENZENE;PENTANOL;c1ccc(cc1)Cl;CCCCCO;-5.21
ISOPROPANOL;PENTANOL;CC(C)O;CCCCCO;-4.99
CARBON DISULFIDE;PENTANOL;C(=S)=S;CCCCCO;-3.32
ETHYL ACETATE;PENTANOL;CCOC(=O)C;CCCCCO;-3.87
2,2,4-TRIMETHYLPENTANE;PENTANOL;CC(C)CC(C)(C)C;CCCCCO;-3.89
O-XYLENE;PENTANOL;Cc1ccccc1C;CCCCCO;-5.18
PENTANE;METHANOL;CCCCC;CO;-2.26
HEXANE;METHANOL;CCCCCC;CO;-2.8
HEPTANE;METHANOL;CCCCCCC;CO;-3.41
OCTANE;METHANOL;CCCCCCCC;CO;-3.85
NONANE;METHANOL;CCCCCCCCC;CO;-4.41
DICHLOROMETHANE;METHANOL;C(Cl)Cl;CO;-3.48
CHLOROFORM;METHANOL;C(Cl)(Cl)Cl;CO;-4.23
CARBON TETRACHLORIDE;METHANOL;C(Cl)(Cl)(Cl)Cl;CO;-3.63
DIETHYL ETHER;METHANOL;CCOCC;CO;-3.26
PROPYL ETHER;METHANOL;CCCOCCC;CO;-3.94
DIISOPROPYL ETHER;METHANOL;CC(C)OC(C)C;CO;-3.82
DIBUTYL ETHER;METHANOL;CCCCOCCCC;CO;-4.97
ETBE;METHANOL;CCOC(C)(C)C;CO;-4.07
TERT-AMYL METHYL ETHER;METHANOL;CCC(C)(C)OC;CO;-4.26
METHYL TERT-BUTYL ETHER;METHANOL;CC(C)(C)OC;CO;-3.78
TETRAHYDROFURAN;METHANOL;C1CCOC1;CO;-4.43
1,4-DIOXANE;METHANOL;C1COCCO1;CO;-4.94
ACETONE;METHANOL;CC(=O)C;CO;-3.94
BUTANONE;METHANOL;CCC(=O)C;CO;-4.56
PENTAN-2-ONE;METHANOL;CCCC(=O)C;CO;-4.88
2-HEXANONE;METHANOL;CCCCC(=O)C;CO;-5.21
2-HEPTANONE;METHANOL;CCCCCC(=O)C;CO;-5.98
METHYL ACETATE;METHANOL;CC(=O)OC;CO;-3.98
PROPYL ACETATE;METHANOL;CCCOC(=O)C;CO;-4.82
BUTYL ACETATE;METHANOL;CCCCOC(=O)C;CO;-5.36
ACETONITRILE;METHANOL;CC#N;CO;-4.04
PROPIONITRILE;METHANOL;CCC#N;CO;-4.92
BUTYRONITRILE;METHANOL;CCCC#N;CO;-5.21
TRIETHYLAMINE;METHANOL;CCN(CC)CC;CO;-5.24
NITROMETHANE;METHANOL;C[N+](=O)[O-];CO;-4.67
METHANOL;METHANOL;CO;CO;-4.91
ETHANOL;METHANOL;CCO;CO;-5.31
1-PROPANOL;METHANOL;CCCO;CO;-5.95
N-BUTANOL;METHANOL;CCCCO;CO;-6.22
PENTANOL;METHANOL;CCCCCO;CO;-6.73
HEXANOL;METHANOL;CCCCCCO;CO;-7.22
HEPTAN-1-OL;METHANOL;CCCCCCCO;CO;-7.6
1-OCTANOL;METHANOL;CCCCCCCCO;CO;-8.04
NONANOL;METHANOL;CCCCCCCCCO;CO;-8.53
TOLUENE;METHANOL;Cc1ccccc1;CO;-4.35
ETHYLBENZENE;METHANOL;CCc1ccccc1;CO;-4.88
CHLOROBENZENE;METHANOL;c1ccc(cc1)Cl;CO;-5.01
OCTANE;DIETHYL ETHER;CCCCCCCC;CCOCC;-5.35
DICHLOROMETHANE;DIETHYL ETHER;C(Cl)Cl;CCOCC;-3.87
CARBON TETRACHLORIDE;DIETHYL ETHER;C(Cl)(Cl)(Cl)Cl;CCOCC;-4.39
DIETHYL ETHER;DIETHYL ETHER;CCOCC;CCOCC;-3.6
ETBE;DIETHYL ETHER;CCOC(C)(C)C;CCOCC;-4.43
